x1,restaurant,item,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,sugar,protein,price
183,Arbys,Ham 'n Cheese Slider,210,70,8,3,0,25,780,21,2,13,3.99
191,Arbys,Roast Turkey Farmhouse Salad,230,120,13,7,0,55,870,8,5,22,4.99
168,Arbys,Roast Turkey & Swiss Wrap,520,240,27,9,0,65,1640,39,6,30,4.99
140,Arbys,Beef 'n Cheddar Classic,450,180,20,6,1,50,1280,45,9,23,6.39
185,Arbys,Pizza Slider,300,150,17,6,0,35,930,23,2,13,1.49
151,Arbys,Double Roast Beef,510,210,24,9,1.5,95,1610,38,5,38,6.61
146,Arbys,Buttermilk Chicken Bacon & Swiss,650,280,31,9,0,90,1750,56,9,39,4.59
164,Arbys,5 piece Prime-Cut Chicken Tenders,600,250,28,4,0,75,1590,47,0,39,5.19
147,Arbys,Buttermilk Chicken Cordon Bleu Sandwich,690,310,35,10,0,110,2000,53,7,41,4.59
159,Arbys,Loaded Italian Sandwich,680,360,40,14,0.5,100,2270,49,7,32,7.49
255,Burger King,Pretzel Chicken Fries,340,189,21,3.5,0,45,1200,21,1,16,3.09
242,Burger King,4 Piece Chicken Nuggets,190,100,11,2,0,25,310,10,0,10,1.00
247,Burger King,Crispy Buffalo Chicken Melt,580,252,28,8,0.5,70,2310,56,8,30,5.59
195,Burger King,Bacon Cheeseburger,330,140,16,7,0,55,830,32,7,18,1.99
214,Burger King,Sourdough King Double,970,549,61,24,3,205,1640,52,12,55,5.99
224,Burger King,Bacon Cheddar Ranch Chicken Salad w/ crispy Chicken & Dressing,720,450,50,13,0,120,1960,32,7,36,6.19
254,Burger King,Original Chicken Sandwich,630,350,39,7,1,65,1390,46,4,24,4.09
194,Burger King,Bacon & Swiss Sourdough King,1000,585,65,24,3,200,1320,48,8,56,5.19
225,Burger King,Chicken BLT Salad w/ Grilled Chicken,550,330,37,10,0,115,1640,17,5,36,5.59
